num,lon,lat,alt,x,y,z,qx,qy,qz,qw
1,113.3912089,23.0381784,0,-0.18614238500595093,0.039035238325595856,1.1834453344345093,-0.030204276055040308,-0.007501714241980878,0.020692718192238654,0.9993013746639395
2,113.3912089,23.0381784,0,-0.18388895690441132,0.041850745677948,1.228963851928711,-0.03015945140556002,-0.008704145746186257,0.020735744369386827,0.9992920865508702
3,113.3912091,23.0381735,0,-0.23283551633358002,0.07250682264566422,1.7691166400909424,-0.029851627387533344,-0.015317052207273037,0.020890965432100346,0.9992186126255406
4,113.3912091,23.0381735,0,-0.2472243309020996,0.07600796222686768,1.837023377418518,-0.029825769565931498,-0.015890083625442208,0.020897947667178535,0.9992102904271334
5,113.3912095,23.0381685,0,-0.2808516323566437,0.10004527121782303,2.2608561515808105,-0.02967477455729452,-0.021899340074449557,0.021021832411051367,0.9990985483030987
6,113.3912097,23.0381633,0,-0.3168448805809021,0.12621869146823883,2.730724334716797,-0.029829006800630598,-0.026806770691733595,0.021242352136825394,0.9989696641410408
7,113.3912097,23.0381583,0,-0.3773057460784912,0.1529955267906189,3.230727195739746,-0.030157232908807893,-0.0334080924751975,0.02131662539182519,0.998759251342563
8,113.3912095,23.0381531,0,-0.4518004357814789,0.18059131503105164,3.7539942264556885,-0.030366188312083913,-0.0365736819229957,0.021235716690868784,0.9986437326367276
9,113.3912095,23.0381478,0,-0.47183340787887573,0.21746395528316498,4.385880470275879,-0.030521020574339405,-0.04107056395012217,0.02123069746500704,0.9984642875762101
10,113.3912094,23.0381432,0,-0.5364915132522583,0.2472832351922989,4.899538993835449,-0.030566793306509875,-0.04114770363079313,0.02099439347593049,0.9984647079769257
11,113.3912091,23.038138,0,-0.5698918104171753,0.28440117835998535,5.527815818786621,-0.030442292848908873,-0.04247478090637286,0.02058688221890863,0.9984214240858224
12,113.3912088,23.0381331,0,-0.6570271253585815,0.3163679242134094,6.098024845123291,-0.030442754671401756,-0.04224225201033191,0.02029385843609816,0.9984372740151922
13,113.3912085,23.0381282,0,-0.7024180293083191,0.3497665226459503,6.672863006591797,-0.030490484495443497,-0.040845498556855146,0.01998823973115418,0.9985000980847848
14,113.3912087,23.0381236,0,-0.7433441281318665,0.3821878731250763,7.217949390411377,-0.030569262377706095,-0.03764024011435285,0.019744449228276055,0.9986285041227738
15,113.3912086,23.0381183,0,-0.7718849182128906,0.4248262047767639,7.932359218597412,-0.030705554628717185,-0.0296840971262768,0.01936597475470538,0.9988998860318989
16,113.3912087,23.0381136,0,-0.8180416226387024,0.4528443515300751,8.431441307067871,-0.030667410116277525,-0.025383402767459592,0.019087731057419403,0.9990249503109441
17,113.3912087,23.0381084,0,-0.8478744029998779,0.48844921588897705,9.056750297546387,-0.030645933141177494,-0.02143258551400014,0.018818059602759844,0.9991232915375752
18,113.3912085,23.0381035,0,-0.910995602607727,0.5193790197372437,9.645514488220215,-0.0306962283878542,-0.01944014803201211,0.018762849446616683,0.9991635390104554
19,113.3912086,23.0380987,0,-0.9317412376403809,0.5464380383491516,10.12429428100586,-0.030700537104063376,-0.016778965852261546,0.01863085240980804,0.999214108519758
20,113.3912088,23.0380939,0,-0.9727631211280823,0.5754316449165344,10.630173683166504,-0.03070738947008195,-0.015746704994141887,0.018573419976858303,0.9992317677016296
21,113.3912089,23.038089,0,-0.9721564054489136,0.6050103902816772,11.130136489868164,-0.030644454013453976,-0.015935019491542076,0.01854578916823359,0.9992312276426057
22,113.3912089,23.038089,0,-0.9835197925567627,0.6109691262245178,11.24483871459961,-0.030615751596789444,-0.01640525380917868,0.01856962030120211,0.9992240552566222
23,113.3912091,23.0380841,0,-1.024121880531311,0.6412964463233948,11.781135559082031,-0.030536744240130493,-0.013104504706297489,0.01845465877935978,0.9992773412706569
24,113.3912095,23.0380748,0,-1.056167483329773,0.6954237818717957,12.722896575927734,-0.030183946188556115,-0.009923811990050348,0.01849709980311857,0.999323923783948
25,113.3912096,23.0380699,0,-1.09027898311615,0.7250056862831116,13.242265701293945,-0.03001334174516745,-0.007207819004034628,0.018360911291714355,0.9993548536926364
26,113.3912096,23.0380699,0,-1.1028997898101807,0.7307553887367249,13.352485656738281,-0.02997483040294823,-0.006988732440531111,0.018363383400383192,0.9993575202655353
27,113.3912098,23.0380651,0,-1.1187307834625244,0.7541574835777283,13.76254940032959,-0.029881052532212637,-0.006666793614682064,0.01835649857150127,0.9993626546567871
28,113.3912102,23.0380601,0,-1.1297277212142944,0.7877492904663086,14.310818672180176,-0.029921157705512538,-0.0050655620228455545,0.018240262564832157,0.9993729820364969
29,113.3912106,23.0380548,0,-1.1284259557724,0.8242164254188538,14.90184211730957,-0.030028571487173916,-0.004463968616039274,0.018029538727770158,0.9993764524001446
30,113.3912108,23.0380495,0,-1.205838918685913,0.8534988760948181,15.422894477844238,-0.030078420991164603,-0.0015035530166373867,0.01791049860445908,0.9993859324398879
31,113.391211,23.0380442,0,-1.227860689163208,0.8911730647087097,16.04402732849121,-0.030124493891157813,0.0027885146847997162,0.017953841654844236,0.9993810077360321
32,113.3912112,23.0380389,0,-1.2469159364700317,0.930263102054596,16.681808471679688,-0.03009667332575773,0.0011959995354824588,0.017934130763753633,0.9993853745145473
33,113.3912115,23.0380336,0,-1.2660404443740845,0.9662870764732361,17.260738372802734,-0.030187114430608893,0.0005219357147222754,0.017699270449799312,0.9993874131341699
34,113.391212,23.0380281,0,-1.226831078529358,1.0038918256759644,17.826547622680664,-0.030399509977343052,1.4257219774888768e-05,0.017339711687617217,0.9993874143636488
